Property Name,Location,Price,Price_Numeric,Area,Area_Numeric,BHK,Type,Posted By,Posted Time,Property URL,Source,Price_Per_Sqft,contacted
Ansal Heights,"Sector 92, Gurgaon",15000000,15000000,"1,770 sqft",1770,3 BHK,Ready To Move,Owner,2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1770-sq-ft-spid-L82090892,99acres,8474,0
Ansal Heights,"Sector 92, Gurgaon",55000000,55000000,"2,565 sqft",2565,4 BHK,Ready To Move,Owner,2w ago,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansal-heights-sector-92-gurgaon-5000-sq-ft-spid-S82086612,99acres,21442,4
AWHO Shanti Vihar,"Sector 95, Gurgaon",20000000,20000000,"1,315 sqft",1315,4 BHK,Ready To Move,Owner,Today,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-awho-shanti-vihar-sector-95-gurgaon-1315-sq-ft-spid-J82449090,99acres,15209,0
Ansal Heights,"Sector 92, Gurgaon",14000000,14000000,"1,935 sqft",1935,3 BHK,Ready To Move,Owner,3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1935-sq-ft-r3-spid-J44774561,99acres,7235,0
Ansal Heights,"Sector 92, Gurgaon",11000000,11000000,"1,565 sqft",1565,3 BHK,Ready To Move,Manya Properties,2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1565-sq-ft-spid-R82091044,99acres,7028,0
Ansal Heights,"Sector 92, Gurgaon",13500000,13500000,"1,770 sqft",1770,3 BHK,Ready To Move,Chauhan Property,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1770-sq-ft-spid-P81446869,99acres,7627,0
Ansal Heights,"Sector 92, Gurgaon",8500000,8500000,"1,320 sqft",1320,2 BHK,Ready To Move,RD The Real Estate,N/A,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-spid-U81174193,99acres,6439,0
Ansal Heights,"Sector 92, Gurgaon",7900000,7900000,"1,320 sqft",1320,2 BHK,Ready To Move,Neemrana Estates,1mo ago,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-spid-I81746566,99acres,5984,0
Ansal Heights,"Sector 92, Gurgaon",8000000,8000000,"1,320 sqft",1320,2 BHK,Ready To Move,Neemrana Estates,3w ago,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-spid-M81891588,99acres,6060,0
Ansal Heights,"Sector 92, Gurgaon",13000000,13000000,"1,935 sqft",1935,3 BHK,Ready To Move,MS & Associates,N/A,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1935-sq-ft-spid-Z82288228,99acres,6718,4
Ansal Heights,"Sector 92, Gurgaon",15000000,15000000,"1,770 sqft",1770,3 BHK,Ready To Move,Global Realtors,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1770-sq-ft-spid-G81643111,99acres,8474,0
Ansal Heights,"Sector 92, Gurgaon",7600000,7600000,"1,320 sqft",1320,2 BHK,Ready To Move,Expert Landbase,1w ago,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-spid-D82169652,99acres,5757,0
Ansal Heights,"Sector 92, Gurgaon",12500000,12500000,"1,935 sqft",1935,3 BHK,Ready To Move,Expert Landbase,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1935-sq-ft-spid-A79964549,99acres,6459,0
Ansal Heights,"Sector 92, Gurgaon",12000000,12000000,"1,947 sqft",1947,3 BHK,Ready To Move,Orbit Realtors,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1947-sq-ft-r2-spid-V78441351,99acres,6163,2
Ansal Heights,"Sector 92, Gurgaon",10000000,10000000,"1,320 sqft",1320,2 BHK,Ready To Move,Capstone Estate,N/A,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-spid-G81083367,99acres,7575,2
Ansal Heights,"Sector 92, Gurgaon",35000000,35000000,"3,500 sqft",3500,4 BHK,Under Construction,Ilika Realtors,1w ago,https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-ansal-heights-sector-92-gurgaon-3500-sq-ft-spid-B82265696,99acres,10000,4
Ansal Heights,"Sector 92, Gurgaon",10000000,10000000,"1,565 sqft",1565,3 BHK,Ready To Move,Neemrana Estates,2w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1565-sq-ft-spid-V82100118,99acres,6389,2
Ansal Heights,"Sector 92, Gurgaon",7600000,7600000,"1,200 sqft",1200,2 BHK,Ready To Move,Manya Properties,2w ago,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-ansal-heights-sector-92-gurgaon-1200-sq-ft-spid-W81995022,99acres,6333,2
Ansal Heights,"Sector 92, Gurgaon",12000000,12000000,"1,935 sqft",1935,3 BHK,Ready To Move,Neemrana Estates,3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1935-sq-ft-spid-Y81888498,99acres,6201,0
Ansal Heights,"Sector 92, Gurgaon",10700000,10700000,"1,770 sqft",1770,3 BHK,Ready To Move,Neemrana Estates,3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1770-sq-ft-spid-D81887106,99acres,6045,0
Ansal Heights,"Sector 92, Gurgaon",10000000,10000000,"1,320 sqft",1320,2 BHK,Ready To Move,Owner,3w ago,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1320-sq-ft-r2-spid-S76317245,99acres,7575,0
Ansal Heights,"Sector 92, Gurgaon",9900000,9900000,"1,565 sqft",1565,3 BHK,Ready To Move,Neemrana Estates,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1565-sq-ft-spid-H81599995,99acres,6325,0
Ansal Heights,"Sector 92, Gurgaon",12000000,12000000,"1,565 sqft",1565,3 BHK,Ready To Move,Owner,1mo ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ansal-heights-sector-92-gurgaon-1565-sq-ft-r1-spid-G78277491,99acres,7667,0
