Property Name,Location,Price,Price_Numeric,Area,Area_Numeric,BHK,Type,Posted By,Posted Time,Property URL,Source,Price_Per_Sqft
Huda Flats,"Sector 57, Gurgaon",24000000.0,24000000.0,"1,600 sqft",1600.0,3 BHK,Ready To Move,Value Homz Realtors Pvt. Ltd.,Dealer·1w ago,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-huda-flats-sector-57-gurgaon-1600-sq-ft-spid-S80743845,99acres,15000
Ultra luxury Floor,"Block C, Sushant Lok Phase 1, Gurgaon",37800000.0,37800000.0,"2,700 sqft",2700.0,4 BHK,Ready To Move,3D BUILDCON,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-block-c-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-X80699755,99acres,14000
BEST PRICE DEAL 500YD FLOOR,"DLF Phase 2, Gurgaon",58000000.0,58000000.0,"4,518 sqft",4518.0,4 BHK,Ready To Move,Kapsons Estate,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-4518-sq-ft-spid-L81840668,99acres,12837
PARK FACING LUXURY BUILDER FLOOR,"DLF Phase 2, Gurgaon",38000000.0,38000000.0,"2,700 sqft",2700.0,4 BHK,Ready To Move,Presto Estates,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-V81838688,99acres,14074
Super Luxury North Facing,"DLF Phase 1, Gurgaon",65000000.0,65000000.0,"3,600 sqft",3600.0,4 BHK,Ready To Move,House2Home Realty,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-3600-sq-ft-spid-W80811585,99acres,18055
"DLF Phase 2, Gurgaon","DLF Phase 2, Gurgaon",43300000.0,43300000.0,"3,000 sqft",3000.0,4 BHK,Ready To Move,SONI REALTORS,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-3000-sq-ft-spid-F80787145,99acres,14433
"A Block Sushant Lok Phase 1, Gurgaon","A Block Sushant Lok Phase 1, Gurgaon",36500000.0,36500000.0,"2,700 sqft",2700.0,4 BHK,Ready To Move,Pride & Premium consultant,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-a-block-sushant-lok-phase-1-gurgaon-2700-sq-ft-spid-R79437257,99acres,13518
Alpha Corp GurgaonOne 84,"Sector 84, Gurgaon",15500000.0,15500000.0,"1,260 sqft",1260.0,2 BHK,Ready To Move,Owner,Today,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-alpha-corp-gurgaonone-84-sector-84-gurgaon-1260-sq-ft-spid-R82143732,99acres,12301
CORNER GREEN BELT FLOOR,"DLF Phase 1, Gurgaon",66000000.0,66000000.0,"4,518 sqft",4518.0,4 BHK,Ready To Move,Kapsons Estate,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-4518-sq-ft-spid-G80845827,99acres,14608
PARK FACING EAST FACING,"DLF Phase 2, Gurgaon",40000000.0,40000000.0,"2,700 sqft",2700.0,4 BHK,Ready To Move,Presto Estates,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-2700-sq-ft-spid-B80850029,99acres,14814
Super Luxury Mind Blowing,"DLF Phase 2, Gurgaon",82500000.0,82500000.0,"4,500 sqft",4500.0,4 BHK,Ready To Move,House2Home Realty,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-2-gurgaon-4500-sq-ft-spid-G81603781,99acres,18333
"DLF Phase 1, Gurgaon","DLF Phase 1, Gurgaon",60000000.0,60000000.0,"3,500 sqft",3500.0,4 BHK,Ready To Move,SONI REALTORS,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-dlf-phase-1-gurgaon-3500-sq-ft-spid-L81450989,99acres,17142
