Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
The Golden Palm,"Sector 168, Noida",18000000,14285,"1,554 sqft",3 BHK,Ready To Move,Dealer·1w ago,Acquire Estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-the-golden-palm-sector-168-noida-1554-sq-ft-spid-W80453747,N/A,page_1.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_1.html
Supertech Ecociti,"Sector 137, Noida",12500000,9652,"1,295 sqft",3 BHK,Ready To Move,N/A,Subah Estate.,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-ecociti-sector-137-noida-1295-sq-ft-spid-T78747517,N/A,page_1.html
Yamuna Enclave,"Sector 28, Noida",28000000,12727,"2,200 sqft",4 BHK,Ready To Move,N/A,Glamour Realtors Pvt Ltd,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-yamuna-enclave-sector-28-noida-2200-sq-ft-spid-Y79746713,N/A,page_1.html
3C Lotus Panache,"Sector 110, Noida",27500000,10630,"2,587 sqft",4 BHK,Ready To Move,6d ago,Owner,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-panache-sector-110-noida-2587-sq-ft-spid-N79966553,N/A,page_1.html
Eureka Park By Tata Value Homes,"Sector 150, Noida",12000000,10909,"1,100 sqft",2 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eureka-park-by-tata-value-homes-sector-150-noida-1100-sq-ft-r2-spid-R74956049,N/A,page_1.html
Ace Starlit,"Sector 152, Noida",18000000,12962,"1,350 sqft",2 BHK,Ready To Move,Yesterday,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ace-starlit-sector-152-noida-1350-sq-ft-spid-H80232311,N/A,page_1.html
Gulshan Botnia,"Sector 144, Noida",17400000,14655,"1,160 sqft",2 BHK,Ready To Move,1w ago,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gulshan-botnia-sector-144-noida-1160-sq-ft-r2-spid-H75066869,N/A,page_1.html
Ivy County,"Sector 75, Noida",34900000,16431,"2,124 sqft",3 BHK,Ready To Move,N/A,Real Home Consultant Private Limited,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ivy-county-sector-75-noida-2124-sq-ft-spid-E80658197,N/A,page_1.html
mahagun mywoods,Noida Extension,15600000,11386,"1,370 sqft",3 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-noida-extension-noida-1370-sq-ft-spid-G80228707,N/A,page_1.html
